Model,Fold,Accuracy_All,Precision_All,Recall_All,F1_Score_All,Accuracy_Female,Precision_Female,Recall_Female,F1_Score_Female
Decision Tree,1,0.9691744514012522,0.9705085581403478,0.9691744514012522,0.9697202916740784,0.9497369859270393,0.9537848881773983,0.9497369859270393,0.9514300092682336
Decision Tree,2,0.9693444820067613,0.9707802074147109,0.9693444820067613,0.9699238437513908,0.9501297991528898,0.9544290525957535,0.9501297991528898,0.9519064159267938
Decision Tree,3,0.9684843271788922,0.9699961719417106,0.9684843271788922,0.9690952076469,0.9485243885776745,0.9531426460671313,0.9485243885776745,0.9504330224389975
Decision Tree,4,0.9695145126122702,0.9709067820557493,0.9695145126122702,0.9700780823498583,0.9500614838092636,0.954242251747492,0.9500614838092636,0.9517975668893328
Decision Tree,5,0.9691844532015763,0.9703907343833886,0.9691844532015763,0.9696855944742037,0.9497711435988523,0.9535361929895056,0.9497711435988523,0.9513622703076067
Decision Tree,6,0.9687243703866696,0.9701690770888801,0.9687243703866696,0.9693109002950716,0.9490879901625905,0.9533870336474447,0.9490879901625905,0.9508776535210646
Decision Tree,7,0.9688843991918545,0.9702613477369918,0.9688843991918545,0.9694467512260612,0.9493270938652821,0.9534992391728377,0.9493270938652821,0.9510690219451108
Decision Tree,8,0.9685843451821328,0.970065469900149,0.9685843451821328,0.9691841631106113,0.9486439404290203,0.9531848513528893,0.9486439404290203,0.950524053847378
Decision Tree,9,0.968964413594447,0.9702859503847856,0.968964413594447,0.9695071548433289,0.9492758573575625,0.9533709553288894,0.9492758573575625,0.9509910105280386
Decision Tree,10,0.9695945270148627,0.9709752310770521,0.9695945270148627,0.9701536617351975,0.9504201393633009,0.9545107872993582,0.9504201393633009,0.9521202073122849
Decision Tree,11,0.969494509011622,0.9707702407369339,0.969494509011622,0.9700182862017381,0.9500444049733571,0.9539755805861542,0.9500444049733571,0.9516923433640939
Decision Tree,12,0.9677041867536157,0.9693279200372784,0.9677041867536157,0.9683582420304502,0.9475338160950949,0.9523215701627118,0.9475338160950949,0.9495148615108916
Decision Tree,13,0.9687643775879659,0.9701631860743236,0.9687643775879659,0.969334980322681,0.949446645716628,0.9536667995607837,0.949446645716628,0.9512041032805831
Decision Tree,14,0.9688143865895861,0.9702536401658383,0.9688143865895861,0.9693984716550105,0.9489855171471513,0.9533285631097117,0.9489855171471513,0.9507919444950657
Decision Tree,15,0.9680842551659299,0.969629139160799,0.9680842551659299,0.9687090619541804,0.9480632600081979,0.9527572616380975,0.9480632600081979,0.9500044614603801
Decision Tree,16,0.9689944189954192,0.970356568041981,0.9689944189954192,0.9695510065517536,0.9497199070911326,0.9538609970500587,0.9497199070911326,0.951446159000538
Decision Tree,17,0.9680242443639855,0.9696448616223273,0.9680242443639855,0.9686748961409948,0.9479949446645717,0.9528974405013715,0.9479949446645717,0.9500091938211935
Decision Tree,18,0.9691844532015763,0.9705247685483995,0.9691844532015763,0.969732371284428,0.9499760896297308,0.9540335799827111,0.9499760896297308,0.9516697334050582
Decision Tree,19,0.9693344802064372,0.9706718638447528,0.9693344802064372,0.969880478512408,0.9501468779887963,0.9542059056401258,0.9501468779887963,0.951839058738247
Decision Tree,20,0.9687243703866696,0.9701290145461821,0.9687243703866696,0.9692972253298563,0.9492246208498428,0.9535520890438752,0.9492246208498428,0.9510225815145062
SVM,1,0.9461203016542977,0.9490977185625264,0.9461203016542977,0.9344005491188592,0.9522134171334882,0.9545637284214437,0.9522134171334882,0.9418991808926853
SVM,2,0.9459802764497609,0.9489727252908542,0.9459802764497609,0.9341843088649432,0.9521109441180489,0.9544710972544052,0.9521109441180489,0.9417416402358988
SVM,3,0.9458902602468444,0.9488923909397008,0.9458902602468444,0.9340451109029693,0.9520426287744227,0.9544093539963321,0.9520426287744227,0.9416364973577531
SVM,4,0.9460302854513812,0.949017361729423,0.9460302854513812,0.9342615779919947,0.9521109441180489,0.9544710972544052,0.9521109441180489,0.9417416402358988
SVM,5,0.9458902602468444,0.9488923909397008,0.9458902602468444,0.9340451109029693,0.9520255499385162,0.9543939195382122,0.9520255499385162,0.9416101971397791
SVM,6,0.946160308855594,0.9491334373525613,0.946160308855594,0.9344622673792294,0.9522304959693947,0.9545791688489758,0.9522304959693947,0.9419254174457886
SVM,7,0.946000280050409,0.9489905793310026,0.946000280050409,0.9342152219168338,0.9521109441180489,0.9544710972544052,0.9521109441180489,0.9417416402358988
SVM,8,0.9461503070552699,0.9491245073871789,0.9461503070552699,0.9344468405046322,0.9522304959693947,0.9545791688489758,0.9522304959693947,0.9419254174457886
SVM,9,0.9461403052549459,0.9491155776003862,0.9461403052549459,0.9344314118366897,0.9522134171334882,0.9545637284214437,0.9522134171334882,0.9418991808926853
SVM,10,0.946000280050409,0.9489905793310026,0.946000280050409,0.9342152219168338,0.9521109441180489,0.9544710972544052,0.9521109441180489,0.9417416402358988
SVM,11,0.9461102998539738,0.9490887893114371,0.9461102998539738,0.9343851150680174,0.9522134171334882,0.9545637284214437,0.9522134171334882,0.9418991808926853
SVM,12,0.9458802584465204,0.948883465792329,0.9458802584465204,0.9340296354401673,0.9520255499385162,0.9543939195382122,0.9520255499385162,0.9416101971397791
SVM,13,0.9461203016542977,0.9490977185625264,0.9461203016542977,0.9344005491188592,0.9521963382975817,0.9545482885367286,0.9521963382975817,0.9418729385664186
SVM,14,0.9458902602468444,0.9488923909397008,0.9458902602468444,0.9340451109029693,0.9520426287744227,0.9544093539963321,0.9520426287744227,0.9416364973577531
SVM,15,0.9460102818507331,0.948999506618705,0.9460102818507331,0.9342306757417649,0.9521280229539555,0.9544865344254649,0.9521280229539555,0.9417679114715922
SVM,16,0.9458702566461963,0.9488745408232448,0.9458702566461963,0.9340141581710858,0.9520084711026097,0.9543784856225948,0.9520084711026097,0.9415838911165854
SVM,17,0.9461403052549459,0.9491155776003862,0.9461403052549459,0.9344314118366897,0.9522304959693947,0.9545791688489758,0.9522304959693947,0.9419254174457886
SVM,18,0.9458602548458722,0.9488656160324371,0.9458602548458722,0.9339986790952431,0.9519913922667032,0.9543630522494506,0.9519913922667032,0.9415575792852465
SVM,19,0.9462303214578625,0.9491959521116888,0.9462303214578625,0.9345702053277556,0.9522988113130209,0.9546409359878456,0.9522988113130209,0.9420303059845909
SVM,20,0.9459202656478166,0.9489191674516556,0.9459202656478166,0.9340915264585082,0.9520597076103293,0.9544247889969827,0.9520597076103293,0.9416627917734313
Logistic Regression,1,0.44149946990458283,0.8897191904025611,0.44149946990458283,0.5392819086822062,0.07880174887279683,0.9296312368657262,0.07880174887279683,0.016025182998892138
Logistic Regression,2,0.4410293852893521,0.8910291322166948,0.4410293852893521,0.5385549483656369,0.07837477797513322,0.9296287464834155,0.07837477797513322,0.015171361080167159
Logistic Regression,3,0.44177952031365647,0.889680163208216,0.44177952031365647,0.5395824742417749,0.0787505123650772,0.9296309379072739,0.0787505123650772,0.015922765535798862
Logistic Regression,4,0.4412894320977776,0.8893983472200052,0.4412894320977776,0.5391188861414902,0.07869927585735756,0.9296306389795338,0.07869927585735756,0.015820336849265204
Logistic Regression,5,0.44194955091916543,0.8888969527156588,0.44194955091916543,0.5399002270642052,0.07900669490367536,0.9296324330067531,0.07900669490367536,0.016434740654400842
Logistic Regression,6,0.44186953651657296,0.8900340556070916,0.44186953651657296,0.5396137810549297,0.07888714305232955,0.9296317351980758,0.07888714305232955,0.016195853834834236
Logistic Regression,7,0.44163949510911965,0.8904928263433826,0.44163949510911965,0.5392908604120571,0.0787163546932641,0.9296307386187017,0.0787163546932641,0.015854480991941255
Logistic Regression,8,0.4413694465003701,0.8895216571771651,0.4413694465003701,0.5391807942276492,0.07883590654460992,0.9296314361884259,0.07883590654460992,0.0160934550733034
Logistic Regression,9,0.44148946810425876,0.8898559430840702,0.44148946810425876,0.5392470302076964,0.07885298538051647,0.9296315358548957,0.07885298538051647,0.016127589240422315
Logistic Regression,10,0.4413294392990738,0.8898849166463912,0.4413294392990738,0.5390740095840737,0.07869927585735756,0.9296306389795338,0.07869927585735756,0.015820336849265204
Logistic Regression,11,0.44179952391430455,0.8900726037682766,0.44179952391430455,0.5395335223429158,0.07876759120098374,0.9296310375566786,0.07876759120098374,0.015956905937119507
Logistic Regression,12,0.44144946090296255,0.8899666131223367,0.44144946090296255,0.539185333400429,0.07846017215466594,0.929629244389359,0.07846017215466594,0.015342187858102499
Logistic Regression,13,0.4412894320977776,0.8898346918832998,0.4412894320977776,0.5390410020118508,0.07869927585735756,0.9296306389795338,0.07869927585735756,0.015820336849265204
Logistic Regression,14,0.44134944289972194,0.8896572725053103,0.44134944289972194,0.539135612409072,0.0787163546932641,0.9296307386187017,0.0787163546932641,0.015854480991941255
Logistic Regression,15,0.4419095437178692,0.8893044305870046,0.4419095437178692,0.5397856910416028,0.07929703511408662,0.9296341283817705,0.07929703511408662,0.01701464022096038
Logistic Regression,16,0.44134944289972194,0.8900710129470144,0.44134944289972194,0.5390617952682243,0.07832354146741358,0.9296284477807543,0.07832354146741358,0.015068850031003476
Logistic Regression,17,0.4413994519013422,0.8903524940346264,0.4413994519013422,0.5390640629484205,0.07864803934963793,0.9296303400825013,0.07864803934963793,0.015717896937413475
Logistic Regression,18,0.4416695005100918,0.889507862778196,0.4416695005100918,0.5394978639873201,0.07881882770870337,0.9296313365253694,0.07881882770870337,0.01605931965948318
Logistic Regression,19,0.44208957612370225,0.8897590302002678,0.44208957612370225,0.5398933430762618,0.07962153299631097,0.9296360243816995,0.07962153299631097,0.01766233755109243
Logistic Regression,20,0.44182952931527675,0.8898231648867162,0.44182952931527675,0.5396094113283033,0.07890422188823609,0.9296318348747866,0.07890422188823609,0.016229984262266253
KNN,1,0.9550819147446541,0.951987792769365,0.9550819147446541,0.9510467720996195,0.9539725372318623,0.9498066855601089,0.9539725372318623,0.950041252554993
KNN,2,0.9551819327478946,0.9521605924110554,0.9551819327478946,0.951042447739532,0.9543995081295259,0.9503128994318331,0.9543995081295259,0.9504200520858207
KNN,3,0.9549518913404412,0.951864488636383,0.9549518913404412,0.9508179555800719,0.9538871430523296,0.9496878769566918,0.9538871430523296,0.9498561005575855
KNN,4,0.9549818967414134,0.9518425105000475,0.9549818967414134,0.950997797522624,0.9536138816778248,0.9493813651771076,0.9536138816778248,0.9496964946315343
KNN,5,0.9550219039427097,0.9519452967868604,0.9550219039427097,0.9509068578038559,0.9541945620986474,0.9500591606890696,0.9541945620986474,0.9501630439211457
KNN,6,0.9548818787381729,0.9517507099591913,0.9548818787381729,0.9508074589341354,0.9538871430523296,0.9497038065946118,0.9538871430523296,0.9499519757683393
KNN,7,0.9552619471504871,0.9522267653451001,0.9552619471504871,0.9512006836162888,0.9541945620986474,0.950066016300982,0.9541945620986474,0.9502176805778694
KNN,8,0.9550219039427097,0.9519241664781425,0.9550219039427097,0.9509565852748307,0.9540066949036754,0.9498422791325543,0.9540066949036754,0.9500442526194868
KNN,9,0.9551119201456262,0.9520507062792495,0.9551119201456262,0.9510175362568384,0.9542628774422736,0.9501432749357396,0.9542628774422736,0.9502442049056607
KNN,10,0.9550519093436819,0.9519737446717306,0.9550519093436819,0.950959156220188,0.9541604044268343,0.9500216931323493,0.9541604044268343,0.9501600823214766
KNN,11,0.9550319057430338,0.9519215682817196,0.9550319057430338,0.951004640791352,0.9541091679191146,0.9499758919779313,0.9541091679191146,0.9502099065248395
KNN,12,0.9548818787381729,0.9517423703179991,0.9548818787381729,0.9508287661860129,0.9538017488727968,0.9496023047897707,0.9538017488727968,0.9498695405711214
KNN,13,0.9550419075433578,0.9519502078412846,0.9550419075433578,0.9509748534698204,0.9542457986063669,0.9501288064533827,0.9542457986063669,0.9502767682626071
KNN,14,0.9551319237462743,0.9520414026204681,0.9551319237462743,0.9511206633377092,0.9540237737395819,0.9498770312958312,0.9540237737395819,0.9501410027791202
KNN,15,0.9547218499329879,0.9515500485041727,0.9547218499329879,0.9506436748786851,0.9537846700368903,0.9495864644549136,0.9537846700368903,0.9498748912516433
KNN,16,0.9548118661359044,0.951668219606592,0.9548118661359044,0.950722220596361,0.9539042218882361,0.949717828966,0.9539042218882361,0.9499329512885238
KNN,17,0.9548518733372007,0.9516955720606223,0.9548518733372007,0.950822662899659,0.9535968028419183,0.9493555016590494,0.9535968028419183,0.9496540067093371
KNN,18,0.9546718409313677,0.951490670521898,0.9546718409313677,0.9505838087765707,0.9536992758573576,0.949474098685392,0.9536992758573576,0.9497377986462304
KNN,19,0.9554519813566442,0.9524292764925778,0.9554519813566442,0.951479821835832,0.9545702964885914,0.9505390141847991,0.9545702964885914,0.9507403757863042
KNN,20,0.9552019363485428,0.9521852955989298,0.9552019363485428,0.9510642989121543,0.9541945620986474,0.9500591606890696,0.9541945620986474,0.9501630439211457
Random Forest,1,0.9831469664539617,0.982938353745836,0.9831469664539617,0.9825592416690989,0.9729129662522202,0.9720665890738891,0.9729129662522202,0.9710888827243356
Random Forest,2,0.9831369646536376,0.982940435218432,0.9831369646536376,0.9825388258521759,0.9729300450881267,0.9721078955266753,0.9729300450881267,0.971086550198398
Random Forest,3,0.9830869556520173,0.9828858632924179,0.9830869556520173,0.9824875749927365,0.9727592567290614,0.9719017478144208,0.9727592567290614,0.9709116622709906
Random Forest,4,0.9830769538516934,0.9828546157695601,0.9830769538516934,0.9824936834220893,0.9726226260418089,0.9717170917769277,0.9726226260418089,0.9707921910310471
Random Forest,5,0.9829169250465084,0.9827019938995437,0.9829169250465084,0.9823120559355573,0.9726738625495286,0.9717893753210438,0.9726738625495286,0.9708336774015996
Random Forest,6,0.9830769538516934,0.9828584584184712,0.9830769538516934,0.9824905022213051,0.9727934144008744,0.9719260908080427,0.9727934144008744,0.9709631556267898
Random Forest,7,0.9829769358484527,0.9827639558133595,0.9829769358484527,0.9823763323024755,0.9727250990572482,0.9718582625841746,0.9727250990572482,0.9708789551363433
